"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert"
"note: by ynzbotz 〽️","none","TERUS PANTAU CHANNEL YOUTUBE GW CUY,,NNTI GW UPLOAD SC BOT AUTO TESPON LGI, YNG LEBIH KEREN+ADA PENAMBAHAN FITUR BARU...!😁👍<#>Mksih Buat kalian yng dh mau Mampir ke Chanel YouTube gw,,Bantu gw Mencapain 1K Subscriber y,,nnti Gw bkal bagi² Bnyak Sc Ke kalian😁<#>Jangan lupa Subscribe,,Like,,Komen,,And share y....😊🙏<#>Thankzzzz.......","all","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
".allmenu","normal","◢▃▃▃▃◤▔▔▔◥▃▃▃▃◣\n*  ✺�WELCOME �✺* ◥▔▔▔▔◣▃▃▃◢▔▔▔▔◤\n------------------------------------------------------------\n*[❗] ALL MENU [❗]*\n------------------------------------------------------------\n┏━━━✪ 𝙄𝙉𝙁𝙊\n┃⛶⧐ Nama User :%name%\n┃⛶⧐ Nama Bot : YnzBotZ〽️\n┃⛶⧐ Nama Owner : It'z Me YanzX〽️\n┃⛶⧐ Prefix : 「 .# 」\n┃⛶⧐ Days : %day_of_week_short%,%day_of_month% %month_name% %year%\n┃⛶⧐ Total Pengguna : %reply_count_groups%\n┃⛶⧐ Runtime : 14 jam, 52 detik\n┃⛶⧐ Speed : %processing_time% second\n┃⛶⧐ Total Menu : 300+\n┗━━━✪\n\n┏━━━✪ 𝙐𝙎𝙎𝙀𝙍 𝙄𝙉𝙁𝙊\n┃⛶⧐ Haii.. : %name%\n┃⛶⧐ Fitur  : Standar\n┃⛶⧐ Detik : %second%\n┃⛶⧐ Menit : %minute%\n┗━━━✪\n\n╭─✪「🔖𝙈𝙀𝙉𝙐 𝙋𝙍𝙀𝙈𝙄𝙐𝙈🔖」✪\n│ ➣#menupremium\n│ ➣#menumedium\n└─❶\n\n╭─✪「🕴️𝙊𝙒𝙉𝙀𝙍 𝙈𝙀𝙉𝙐🕴️」✪\n│ ➣#infobot\n│ ➣#donasi\n│ ➣#owner\n│ ➣#snk\n│ ➣#peraturan\n└─❷\n\n╭─✪「🎭𝙈𝙊𝘿𝙎 𝙈𝙀𝙉𝙐🎭」✪\n│ ➣#apkhack\n│ ➣#scdeface\n│ ➣#bugwa[❗RANDOM VIRTEX❗]\n│ ➣#antivirus\n│ ➣#tools\n│ ➣#wamods\n│ ➣#modapk\n│ ➣#grupbot\n└─❸\n\n╭─✪「🎗️𝙊𝙏𝙃𝙀𝙍 𝙈𝙀𝙉𝙐🎗️ 」✪\n│ ❖#verify\n│ ❖#intro\n│ ❖#linkgrup [Nama Group ini]\n│ ❖#pantun\n│ ❖#puisi\n│ ❖#bucin\n│ ❖#gombal\n│ ❖#romantis\n│ ❖#sad\n│ ❖#toxic\n│ ❖#cerpen\n│ ❖#anime\n│ ❖#quotes\n│ ❖#quotes anime\n│ ❖#katakata motivasi\n│ ❖#gombalan\n└─❹\n\n╭─✪「🎲𝙆𝙀𝙍𝘼𝙉𝙂 𝙈𝙀𝙉𝙐🎲」✪\n│ ❖#apa\n│ ❖#bener\n│ ❖#ratecantik\n│ ❖#rateganteng\n│ ❖#kapan\n│ ❖#bisa\n│ ❖#tekateki\n│ ❖#dadu\n└─❺\n\n╭─✪「📍𝙉𝙎𝙁𝙒 𝙈𝙀𝙉𝙐📍」✪\n│ ❖#reportbug\n│ ❖#bugreport\n│ ❖#botstat\n│ ❖#jumlah pesan di grup\n│ ❖#nuklircode\n│ ❖#tambah followers ig\n└─❻\n\n╭─✪「 🎰𝙁𝙐𝙉 𝙈𝙀𝙉𝙐🎰 」✪\n│ ❖#cekgay \n│ ❖#cekalay\n│ ❖#cekganteng \n│ ❖#cekcantik \n│ ❖#cekwibu \n│ ❖#cektolol \n│ ❖#cekpintar \n└─❼\n\n╭─✪「🃏𝙈𝘼𝙆𝙀𝙍 𝙈𝙀𝙉𝙐🃏 」✪\n│ ❖#impostor\n│ ❖#soviet\n│ ❖#coffe\n│ ❖#spongebob\n│ ❖#itik\n│ ❖#cow\n│ ❖#cess\n│ ❖#kereta\n│ ❖#hackerfont1\n│ ❖#maskhacker\n│ ❖#hellofont\n│ ❖#helicopter\n│ ❖#mlfont\n│ ❖#fontff\n│ ❖#tank\n│ ❖#lovefont\n│ ❖#musicfont\n│ ❖#sarangeo\n└─❽\n\n╭─✪「🎮𝙂𝘼𝙈𝙀 𝙈𝙀𝙉𝙐🎮」✪\n│ ❖#gtasanlite\n│ ❖#\n│ ❖#\n│ ❖#\n│ ❖#\n│ ❖#\n│ ❖#\n└─❾\n\n╭─✪「💠𝘼𝙋𝙆 𝙋𝙍𝙊💠 」✪\n│ ❖#apkeditvideo\n│ ❖#apkmusic\n│ ❖#apkeditfoto\n│ ❖#apkjedagjedug\n│ ❖#apkhpsbgfoto\n└─❿\n\n╭─✪「📛𝘿𝙊𝙎𝘼 𝙈𝙀𝙉𝙐📛」✪\n│ ❖#dosa1\n│ ❖#dosa2\n│ ❖#dosa3\n│ ❖#dosa4\n│ ❖#dosa4\n│ ❖#dosa5\n│ ❖#dosa6\n│ ❖#dosa7\n│ ❖#dosa8\n│ ❖#dosa9\n│ ❖#dosa10\n└─⓫\n\n╭─✪「🔰𝘾𝙊𝙉𝙑𝙀𝙍𝙏 𝙈𝙀𝙉𝙐🔰」✪\n│ ❖#ymp3\n│ ❖#ytmp4\n│ ❖#tiktokmp4\n│ ❖#sticker\n└─⓬\n\n╭─✪「📝𝙉𝙐𝙇𝙄𝙎 𝙈𝙀𝙉𝙐📝」✪\n│ ❖#nuliskuda\n│ ❖#nulissayaganteng\n│ ❖#nulisakusetres\n│ ❖#nulisisalmods\n│ ❖#nulisepepburiq\n│ ❖#nulisakumonyet\n│ ❖#nulisakupintar\n└─⓭\n\n╭─✪「🎖️𝙀𝙓𝙏𝙍𝘼 𝙈𝙀𝙉𝙐🎖️」✪\n│ ❖#antilink on/off\n│ ❖#Bot on//off <no>\n│ ❖#ban @tag/<no>\n│ ❖#unban @tag/<no>\n│ ❖#ceklokasi\n│ ❖#set prefix \n│ ❖#set menu <no>\n│ ❖#req\n└─⓮\n\n『ＮＯＴＥ！』\n*_Ini Adalah Bot Auto Rerponder,Bukan Bot Termux:v❗_*\n⸻⸻⸻⸻⸻⸻⸻⸻\n\n*【ＷＡＲＮＩＮＧ】*\n_Jika Anda Menemukan bug/ Error Pada Menu Diatas,Harap Laporkan Ke Owner_\n*Ketik #bugreport atau #reportbug*\n\n*_Atau Laporkan Langsung Ke Owner nya_*\nNo.owner:\nhttps://wa.me/6283841539788\n\n _—©By: YnzBotZ 〽️|| Bot Gabut🗿—_","all","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#req","none","*[ WAIT PROSES...❗]*<#>╭─「YanzX Mods Bot〽️」\n║╭─────  \n║├「*INFORMATION*」\n║│ USERNAME: %name%\n║│ ACCOUNT : STANDAR\n║│ DATE: %day_of_week%/%day_of_month_short%/%month_name%/%year%\n║│ POWER: %battery%%\n║│ VERSION : %app_version%\n║│ TIME/HOUR : %hour_of_day_short%:%minute%:%second% WlB\n║╰─────       \n║\n╠「 INFO! 」\n║\n║*Ketik: .req (Nama apk yang kamu inginkan agar ada di menu)*\n║\n║.req gunanya untuk requests aplikasi yang anda inginkan agar ada di menu bot, cara pakai?\nContoh: .req apk hack ff\n║\n╰─「©Created By YnzBotZ 〽️」","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#kinemaster","none","*BERIKUT ADALAH LINK KINEMASTER MOD TERBARU %day_of_week%/%day_of_month_short%/%month_name%/%year%, DAN UNTUK ANDROID 5 KE BAWAH SILAHKAN INSTALL YANG PALING BAWAH*\n\n[ LINK: https://loop.co.id/kinemaster-pro-mod-apk/ ]","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#gtasanlite","none","*BERIKUT ADALAH LINK GTA SAN ANDROID GRATIS TERBARU %day_of_week%/%day_of_month_short%/%month_name%/%year%*\n\n[ LINK APK: https://www.mediafire.com/file/z6ms3ovfqftzwsh/APK+GTA+SA+V1.0.8.7z/file ]\n\n[ LINK OBB: https://www.mediafire.com/file/3xl7gqpoktukhg4/OBB+GTA+SA+ORIGINAL+V1.0.8.7z/file ]\n\nPassword: Subscribe Fadil Pa","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#pixellab","none","*BERIKUT ADALAH LINK PIXELLAB MOD TERBARU %day_of_week%/%day_of_month_short%/%month_name%/%year%*\n\n[ LINK: https://apkdone.com/id/pixellab-apk/download ]","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#apkhack","none","*[ WAIT PROSES..❗]*<#>*╭─「 *YanzX Mods Bot〽️* 」*\n║╭─────  \n║├「*INFORMATION*」\n║│ USERNAME: %name%\n║│ ACCOUNT : STANDAR\n║│ DATE: %day_of_week%/%day_of_month_short%/%month_name%/%year%\n║│ POWER: %battery%%\n║│ VERSION : %app_version%\n║│ TIME/HOUR : %hour_of_day_short%:%minute%:%second% WlB\n║╰─────       \n╠「LIST MENU %message%」\n╠❂⧐#termux\n╠❂⧐#linux\n╠❂⧐#anonhackbar\n╠❂⧐#dhhackbr\n╠❂⧐#droidhackbar\n╠❂⧐#scriptdroid\n╠❂⧐#webdav\n╠❂⧐#wxd\n╠❂⧐#droidsqli\n╠❂⧐#carainstall\n╠❂⧐#req\n║\n╠「 WARNING 」\n║#req gunanya untuk requests\n║aplikasi yang anda inginkan agar\n║ada di menu bot\n║\n║\n╰─「©By YnzBotZ 〽️」","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#bullylite","none","*BULLY ANDROID HANYA SUPPORT ANDROID 8 KE ATAS*\n\nLINK: https://www.mediafire.com/file/m9tocfh4emo2wds/BULLY_MOD_2020_BY_BANG_BOR.7z/file","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#androhackbar","none","*Droid HackBar adalah aplikasi Hack bar yang sangat populer dan ini gunanya  untuk membantu kalian melakukan BugHunter dan untuk cara install nya cek #carainstall*\n\nLink: https://safefileku.com/download/ioUAcwn94GNuUhY","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#scdeface","none","*[ WAIT PROSES...❗]*<#>HI..%name%\n\n*Fitur ini adalah fitur Beta, jadi saat ini saya hanya menyediakan 1 sc Deface yang bisa kamu pakai, untuk Membuat nya silahkan berikan Perintah*\n\n#Sc by<#>%name%\n*Jika ingin Mendapatkan Lebih Banyak Sc,,Anda Harus Berlangganan Fiture Premium Dulu❗*\n\nKetik #langganan premium","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
